日付,猫,体重(kg),元気度,食欲,飲水量(cc),カリカリ(g),ウェット(g),チュール(本),おやつ(袋),尿回数,便回数,便の状態,点滴(cc),メモ
2025/11/15,ラッキー,4.4,低下,減,160,20,,,,3,1,良好,200,【通院】エコー＋血液検査。左尿管に石。水腎症の可能性。クレアチニン5.23。ミニプレス開始。
2025/11/17,ラッキー,,低下,減,150,15,,,,4,1,良好,250,【通院】カテーテル実施。右腎は生きている。強めの痛み止め。
2025/11/18,ラッキー,,普通,減,150,20,,,,5,1,良好,250,【通院】腎臓から水が抜けた。シュウ酸カルシウムサプリ開始。目標飲水200cc。
2025/11/21,ラッキー,,普通,普通,200,39,,,,5,1,硬い,250,【通院】腎臓数値高い。週2回の点滴へ。
2025/11/22,ラッキー,,低下,減,200,17,10,,,13,1,硬い,250,【通院】気張っていたがうんち出ず。食欲減。耳あったかい。
2025/11/23,ラッキー,,低下,減,165,3,20,,,9,0,なし,250,【通院】リキんだがウンチ出ない。力弱い感。
2025/11/25,ラッキー,,低下,なし,150,8,20,2,,10,1,良好,250,【通院】赤い尿（ピンク色）5:00出現。トイレ頻回。8:00色戻る。
2025/11/26,ラッキー,,普通,普通,150,33,30,1,,28,1,良好,200,【通院】腎盂腎炎診断。貧血あり。CPK上昇。白血球高値。血尿あり。クラバセプチン開始。
2025/11/27,ラッキー,,低下,なし,165,,,,,17,1,良好,,元気・食欲なし。おしっこ少量頻回。
2025/11/28,ラッキー,4.0,低下,減,165,3,10,1,,13,1,良好,250,【通院】菌培養結果：耐性菌。ベラフロックス10cc＋UT Clean開始。
2025/11/29,ラッキー,,元気,普通,190,20,,1.5,,16,0,なし,250,【通院】新薬で元気出てきた。夜元気・同居猫威嚇・家中徘徊。
2025/11/30,ラッキー,,元気,普通,190,19,,2,,14,2,良好,,甘え・鳴き増。
2025/12/01,ラッキー,,元気,普通,200,27,,2,,15,1,良好,250,【通院】食欲増進薬使用（日曜深夜）。飲水180〜220cc。
2025/12/02,ラッキー,,元気,普通,200,33,,1.5,,14,1,良好,,甘えあり。尿回数減少傾向。
2025/12/03,ラッキー,,元気,普通,200,37,15,1.5,,10,2,良好,250,【通院】尿回数減少傾向。便小粒あり。
2025/12/04,ラッキー,,低下,減,190,44,,,1,20,2,良好,,4:00〜7:00トイレ頻回（20回以上少量）。嘔吐あり（1:40頃）。
2025/12/05,ラッキー,,低下,減,190,28,10,1,1,4,1,良好,250,【通院】ベラフロックス・UT Clean飲み切り。元気減少。
2025/12/06,ラッキー,,元気,増,175,61,30,1,1,6,2,良好,,食欲増進薬（カプセル）。とても元気。甘え・鳴き増。
2025/12/07,ラッキー,,元気,増,175,61,30,1,1,10,1,良好,250,【通院】とても元気。食欲増。尿出すまでトイレウロウロ5〜10分。
2025/12/08,ラッキー,,普通,普通,175,34,30,1,1,14,2,良好,,元気少しずつ低下。鳴き・徘徊・同居猫威嚇する元気あり。
2025/12/09,ラッキー,,低下,減,175,28,30,1,1,7,1,良好,,夜に嘔吐（少量固形＋水分＋ウロアクト茶色）。噛まれた。
2025/12/10,ラッキー,,低下,減,175,28,30,1,1,7,3,硬い,250,【通院】朝元気無い。ビブラマイシン開始。便コロコロ。
2025/12/11,ラッキー,,元気,増,225,45,30,1,1,19,2,良好,,飲水量増。食欲増進薬で食欲出た。
2025/12/12,ラッキー,,元気,増,225,45,30,1,1,13,1,良好,250,【通院】飲水量増。食欲出た。
2025/12/13,ラッキー,,元気,普通,225,38,30,1,1,15,3,良好,,夜食欲増進薬。立派便あり。
2025/12/14,ラッキー,,普通,減,225,18,30,1,1,8,0,なし,,尿回数減。
2025/12/15,ラッキー,,普通,減,225,18,30,1,1,7,1,良好,250,【通院】21:30嘔吐。ラプロス・ウロアクト吐出。
2025/12/16,ラッキー,,元気,普通,225,33,30,1,1,13,1,良好,,甘え鳴き増。
2025/12/17,ラッキー,,元気,普通,225,33,30,1,1,10,2,良好,250,【通院】ビブラマイシンなくなる。ポロ便あり。
2025/12/18,ラッキー,,低下,減,225,18,30,1,1,10,2,良好,,やや元気無い。鳴き増。ポロ便・立派便。
2025/12/19,ラッキー,,低下,減,225,18,30,1,1,10,0,なし,250,【通院】やや元気無い。トイレで丸まり約10分。
2025/12/20,ラッキー,,低下,減,240,21,15,0.5,2,12,1,良好,,便出にくそう。おやつカリカリよく食べる。
2025/12/21,ラッキー,,低下,減,240,21,15,0.5,3,10,3,柔らかい,,少便あり。
2025/12/22,ラッキー,,低下,減,240,21,15,0.5,3,12,1,良好,250,【通院】便出にくそう。ラクツロース開始。食欲増進薬。
2025/12/23,ラッキー,,元気,増,240,27,5,1.5,2,15,0,なし,,食欲増。
2025/12/24,ラッキー,,元気,増,240,27,5,1.5,2,10,1,柔らかい,250,【通院】食欲増進薬。便やや柔。
2025/12/25,ラッキー,,元気,普通,225,36,15,1.5,,13,1,硬い,,便やや硬。
2025/12/26,ラッキー,,元気,普通,225,36,15,1.5,,10,1,硬い,250,【通院】便やや硬。夜食欲増進薬。
2025/12/27,ラッキー,,低下,減,240,20,20,1,,13,0,なし,,食欲なし。クランベリBB開始。
2025/12/28,ラッキー,,低下,なし,240,8,20,1,,7,1,良好,,食欲減。元気減。
2025/12/29,ラッキー,,低下,減,240,20,20,2,,9,1,良好,250,【通院】食欲増進薬。クラバセプチン再開。
2025/12/30,ラッキー,,低下,減,240,13,20,2,,10,0,なし,,食欲減。尿量少し減った。
2025/12/31,ラッキー,,普通,減,,,,,,2,1,良好,,夜間の間隔がやや延びている。尿多め。
