日付,猫,体重(kg),元気度,食欲,飲水量(cc),カリカリ(g),ウェット(g),チュール(本),おやつ(袋),尿回数,便回数,便の状態,点滴(cc),メモ
2025/11/15,ラッキー,4.4,低下,減,160,20,0,0,0,3,1,良好,200,エコー＋血液検査。左尿管に石、水腎症の可能性。クレアチニン5.23。
2025/11/17,ラッキー,,低下,減,150,15,0,0,0,4,1,良好,0,カテーテル実施。右腎は生きている。
2025/11/18,ラッキー,,普通,減,150,20,0,0,0,5,1,良好,0,腎臓から水が抜けた。シュウ酸カルシウムサプリ開始。
2025/11/21,ラッキー,,普通,普通,200,39,0,0,0,5,1,硬い,250,腎臓数値高い。週2回の点滴へ。
2025/11/22,ラッキー,,低下,減,200,17,10,0,0,13,1,硬い,0,気張っていたがうんち出ず。
2025/11/23,ラッキー,,低下,減,165,3,20,0,0,9,0,なし,0,リキんだがウンチ出ない。
2025/11/25,ラッキー,,低下,なし,150,8,20,2,0,5,1,良好,0,赤い尿（ピンク色）出現。
2025/11/26,ラッキー,,普通,普通,150,33,30,1,0,28,1,良好,200,腎盂腎炎。クラバセプチン開始。
2025/11/28,ラッキー,4,低下,減,165,3,10,1,0,13,1,良好,250,菌培養結果：耐性菌。ベラフロックス開始。
2025/11/29,ラッキー,,元気,普通,190,20,0,1.5,0,16,0,なし,0,新薬で元気が出てきた。
2025/12/01,ラッキー,,元気,普通,200,27,0,2,0,15,1,良好,0,食欲増進薬使用。
2025/12/03,ラッキー,,元気,普通,200,37,15,1.5,0,10,2,良好,0,尿回数減少傾向。
2025/12/05,ラッキー,,低下,減,190,28,10,1,1,20,1,良好,0,4:00〜7:00頻回トイレ。
2025/12/07,ラッキー,,元気,増,175,61,30,1,1,6,1,良好,0,とても元気。食欲増進薬効果。
2025/12/10,ラッキー,,低下,減,175,28,30,1,1,7,3,硬い,0,朝元気無い。ビブラマイシン開始。
2025/12/12,ラッキー,,元気,増,225,45,30,1,1,19,2,良好,0,飲水量増。食欲出た。
2025/12/15,ラッキー,,普通,減,225,18,30,1,1,8,0,なし,0,21:30嘔吐。
2025/12/17,ラッキー,,元気,普通,225,33,30,1,1,13,1,良好,0,甘え鳴き増。
2025/12/19,ラッキー,,低下,減,225,18,30,1,1,10,2,良好,0,やや元気無い。
2025/12/22,ラッキー,,低下,減,240,21,15,0.5,3,12,3,柔らかい,0,便出にくそう。ラクツロース開始。
2025/12/24,ラッキー,,元気,増,240,27,5,1.5,2,15,0,なし,0,便やや柔らかくなってきた。
2025/12/26,ラッキー,,元気,普通,225,36,15,1.5,0,13,1,硬い,0,便やや硬。
2025/12/29,ラッキー,,低下,なし,240,8,20,1,0,9,1,良好,0,食欲なし。クランベリBB追加。
2025/12/30,ラッキー,,低下,減,240,13,20,2,0,10,0,なし,0,食欲減。
2025/12/31,ラッキー,,普通,減,,,,,0,2,1,良好,0,夜間の間隔がやや延びている。

