日付,猫,タイミング,ラプロス,ラクツロース,クランベリBB,クラバセプチン,ビブラマイシン,ウロアクト,UT Clean,ベラフロックス,食欲増進薬,その他
2025/11/15,ラッキー,朝,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,ミニプレス・痛み止め・ステロイド
2025/11/15,ラッキー,夜,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,ミニプレス（耳に食欲増進）
2025/11/17,ラッキー,朝,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,強い痛み止め・吐き気止め
2025/11/18,ラッキー,朝,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,ステロイド注射・シュウ酸カルシウムサプリ
2025/11/18,ラッキー,夜,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,シュウ酸カルシウムサプリ・キドキュア
2025/11/21,ラッキー,朝,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2025/11/21,ラッキー,夜,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2025/11/26,ラッキー,朝,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,ビタミン注射・抗生剤
2025/11/26,ラッキー,夜,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,
2025/11/27,ラッキー,朝,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,
2025/11/27,ラッキー,夜,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,
2025/11/28,ラッキー,朝,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,ベラフロックス10cc
2025/11/28,ラッキー,夜,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
2025/11/29,ラッキー,朝,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,
2025/11/29,ラッキー,夜,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
2025/11/30,ラッキー,朝,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,
2025/11/30,ラッキー,夜,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
2025/12/01,ラッキー,朝,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,
2025/12/01,ラッキー,夜,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,深夜食欲増進薬
2025/12/02,ラッキー,朝,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,
2025/12/02,ラッキー,夜,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
2025/12/03,ラッキー,朝,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,
2025/12/03,ラッキー,夜,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
2025/12/04,ラッキー,朝,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,
2025/12/04,ラッキー,夜,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
2025/12/05,ラッキー,朝,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,ベラフロックス・UT Clean飲み切り
2025/12/05,ラッキー,夜,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,
2025/12/06,ラッキー,朝,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,食欲増進薬カプセル
2025/12/06,ラッキー,夜,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,
2025/12/07,ラッキー,朝,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,
2025/12/07,ラッキー,夜,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,
2025/12/08,ラッキー,朝,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,
2025/12/08,ラッキー,夜,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,
2025/12/09,ラッキー,朝,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,
2025/12/09,ラッキー,夜,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,
2025/12/10,ラッキー,朝,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,ビブラマイシン開始
2025/12/10,ラッキー,夜,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,
2025/12/11,ラッキー,朝,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
2025/12/11,ラッキー,夜,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
2025/12/12,ラッキー,朝,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
2025/12/12,ラッキー,夜,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
2025/12/13,ラッキー,朝,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
2025/12/13,ラッキー,夜,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,
2025/12/14,ラッキー,朝,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
2025/12/14,ラッキー,夜,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
2025/12/15,ラッキー,朝,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
2025/12/15,ラッキー,夜,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,嘔吐でラプロス・ウロアクト吐出
2025/12/16,ラッキー,朝,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
2025/12/16,ラッキー,夜,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
2025/12/17,ラッキー,朝,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,ビブラマイシンなくなる
2025/12/17,ラッキー,夜,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,
2025/12/18,ラッキー,朝,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,
2025/12/18,ラッキー,夜,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,
2025/12/19,ラッキー,朝,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ウロアクトなくなる
2025/12/19,ラッキー,夜,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2025/12/20,ラッキー,朝,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,
2025/12/20,ラッキー,夜,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2025/12/21,ラッキー,朝,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2025/12/21,ラッキー,夜,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2025/12/22,ラッキー,朝,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,ラクツロース開始
2025/12/22,ラッキー,夜,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2025/12/23,ラッキー,朝,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2025/12/23,ラッキー,夜,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
