日付,時刻,猫,種類,量,メモ
2025/11/26,09:30,ラッキー,尿,普通,病院後
2025/11/26,11:00,ラッキー,尿,普通,
2025/11/26,11:30,ラッキー,尿,普通,
2025/11/26,12:30,ラッキー,尿,普通,
2025/11/26,13:10,ラッキー,尿,普通,
2025/11/26,14:30,ラッキー,尿,普通,
2025/11/26,18:30,ラッキー,尿,普通,
2025/11/26,20:30,ラッキー,尿,普通,
2025/11/26,21:30,ラッキー,尿,普通,
2025/11/26,23:30,ラッキー,尿,普通,
2025/11/27,00:30,ラッキー,尿,普通,
2025/11/27,01:35,ラッキー,尿,普通,
2025/11/27,03:00,ラッキー,尿,少量,
2025/11/27,03:30,ラッキー,尿,少量,
2025/11/27,04:30,ラッキー,尿,少量,
2025/11/27,05:08,ラッキー,便,少量,小粒
2025/11/27,05:19,ラッキー,尿,普通,
2025/11/27,06:46,ラッキー,尿,普通,
2025/11/27,07:50,ラッキー,尿,普通,
2025/11/27,08:45,ラッキー,尿,普通,
2025/11/27,10:00,ラッキー,尿,普通,
2025/11/27,11:50,ラッキー,尿,普通,
2025/11/27,12:25,ラッキー,尿,普通,
2025/11/27,19:05,ラッキー,尿,普通,約6.5時間後
2025/11/27,19:58,ラッキー,便,少量,1つぶ
2025/11/27,20:00,ラッキー,尿,普通,
2025/11/27,22:45,ラッキー,尿,普通,
2025/11/28,00:00,ラッキー,尿,普通,
2025/11/28,02:00,ラッキー,尿,普通,
2025/11/28,03:45,ラッキー,尿,普通,
2025/11/28,05:10,ラッキー,尿,普通,
2025/11/28,05:45,ラッキー,便,多め,立派なうんちどっさり
2025/11/28,06:45,ラッキー,尿,普通,
2025/11/28,11:15,ラッキー,尿,普通,
2025/11/28,13:40,ラッキー,尿,普通,
2025/11/28,16:00,ラッキー,尿,普通,
2025/11/28,17:50,ラッキー,尿,普通,
2025/11/28,19:00,ラッキー,尿,普通,
2025/11/28,20:00,ラッキー,尿,普通,
2025/11/28,21:00,ラッキー,尿,普通,
2025/11/28,22:30,ラッキー,尿,普通,
2025/11/28,23:45,ラッキー,尿,普通,
2025/11/29,00:54,ラッキー,尿,普通,
2025/11/29,02:18,ラッキー,尿,普通,
2025/11/29,03:45,ラッキー,尿,普通,
2025/11/29,04:55,ラッキー,尿,普通,
